construct,site_a_n,site_b_n,site_a_m_pre,site_b_m_pre,site_a_sd_pre,site_b_sd_pre,site_a_m_post,site_b_m_post,site_a_sd_post,site_b_sd_post,site_a_m_delta,site_b_m_delta,site_a_sd_delta,site_b_sd_delta,site_a_t,site_b_t,site_a_df,site_b_df,site_a_p_t,site_b_p_t,site_a_p_t_corrected,site_b_p_t_corrected,site_a_cohen_d,site_b_cohen_d,site_a_wilcoxon_w,site_b_wilcoxon_w,site_a_p_w,site_b_p_w,site_a_p_w_corrected,site_b_p_w_corrected,site_a_rank_biserial_r,site_b_rank_biserial_r,site_a_design,site_b_design
Materiality awareness,31,30,2.7999999999999994,2.15,0.7571877794400363,0.8822971584801057,3.883870967741936,3.316666666666667,0.7095053554853308,0.8250740127023644,1.0838709677419356,1.1666666666666667,0.6382772512493028,1.0449660391555822,9.454728546705711,6.1151236162570966,30,29,1.6609142509697577e-10,1.161979890593166e-06,3.3218285019395153e-10,3.4859396717794977e-06,1.69811937621225,1.116463715518859,0.0,14.5,3.725290298461914e-09,8.165836334228516e-06,1.1175870895385742e-08,2.4497509002685547e-05,1.0,0.9107692307692308,retrospective,traditional
Impact representations,30,30,3.2,3.716666666666667,0.729312382812837,0.8060475443037841,4.266666666666667,4.083333333333333,0.8039056958475241,0.8718127501157389,1.0666666666666667,0.36666666666666664,0.6430441253338971,0.9185195484689154,9.085494628674434,2.186470660894785,29,29,5.549505088969964e-10,0.03699759310029496,5.549505088969964e-10,0.07399518620058992,1.6587767847390036,0.39919310076510084,4.5,64.5,3.725290298461914e-08,0.046160221099853516,3.725290298461914e-08,0.09232044219970703,0.9793103448275862,0.49011857707509876,retrospective,traditional
Critical self-efficacy,30,30,2.388888888888889,3.183333333333333,0.7930895662064549,0.7598018495467831,3.6000000000000005,3.433333333333333,0.7550595622391227,0.6260623155792927,1.211111111111111,0.25,0.6636906756156109,0.728129393578575,9.994910273304708,1.8805811245074378,29,29,6.67652608942401e-11,0.07010622377254026,2.0029578268272032e-10,0.07399518620058992,1.8248126056430376,0.3433455677037183,0.0,102.5,7.450580596923828e-09,0.1134914755821228,1.4901161193847656e-08,0.1134914755821228,1.0,0.36923076923076925,retrospective,traditional
